Rank;	Iteration;	E0;	
0;	0;	0.000392316;	
0;	1;	0.000392315;	
0;	2;	0.000392315;	
0;	3;	0.000392315;	
0;	4;	0.000392315;	
0;	5;	0.000392315;	
0;	6;	0.000392315;	
0;	7;	0.000392315;	
0;	8;	0.000392315;	
0;	9;	0.000392315;	
0;	10;	 ;	
1;	0;	0.000392316;	
1;	1;	0.000392315;	
1;	2;	0.000392315;	
1;	3;	0.000392315;	
1;	4;	0.000392315;	
1;	5;	0.000392315;	
1;	6;	0.000392315;	
1;	7;	0.000392315;	
1;	8;	0.000392315;	
1;	9;	0.000392315;	
1;	10;	 ;	
2;	0;	0.000392316;	
2;	1;	0.000392315;	
2;	2;	0.000392315;	
2;	3;	0.000392315;	
2;	4;	0.000392315;	
2;	5;	0.000392315;	
2;	6;	0.000392315;	
2;	7;	0.000392315;	
2;	8;	0.000392315;	
2;	9;	0.000392315;	
2;	10;	 ;	
3;	0;	0.000392316;	
3;	1;	0.000392315;	
3;	2;	0.000392315;	
3;	3;	0.000392315;	
3;	4;	0.000392315;	
3;	5;	0.000392315;	
3;	6;	0.000392315;	
3;	7;	0.000392315;	
3;	8;	0.000392315;	
3;	9;	0.000392315;	
3;	10;	 ;	
